ID,Статистическое время,Средняя скорость ветра(m/s),Нормализованная активная мощность,Средняя температура окружающей среды(°C)
81,2023-03-11 13:20:00,14.81,0.99,20.17
82,2023-03-11 13:30:00,13.58,0.99,20.61
83,2023-03-11 13:40:00,14.61,0.99,20.65
84,2023-03-11 13:50:00,14.5,0.99,20.62
85,2023-03-11 14:00:00,14.29,0.99,20.79
86,2023-03-11 14:10:00,12.31,0.97,21.28
87,2023-03-11 14:20:00,13.42,0.99,21.1
88,2023-03-11 14:30:00,13.12,0.99,21.08
89,2023-03-11 14:40:00,13.02,0.99,21.27
90,2023-03-11 14:50:00,12.83,0.98,21.51
91,2023-03-11 15:00:00,12.81,0.99,21.75
92,2023-03-11 15:10:00,12.49,0.97,21.95
93,2023-03-11 15:20:00,11.54,0.94,22.27
94,2023-03-11 15:30:00,10.43,0.85,22.71
95,2023-03-11 15:40:00,11.28,0.93,22.57
96,2023-03-11 15:50:00,12.31,0.98,22.42
97,2023-03-11 16:00:00,12.49,0.99,22.36
98,2023-03-11 16:10:00,11.09,0.92,22.58
99,2023-03-11 16:20:00,12.19,0.98,22.71
100,2023-03-11 16:30:00,9.97,0.78,23.01
101,2023-03-11 16:40:00,10.62,0.89,22.74
102,2023-03-11 16:50:00,10.25,0.84,22.68
103,2023-03-11 17:00:00,11.26,0.93,22.45
104,2023-03-11 17:10:00,10.53,0.84,22.19
105,2023-03-11 17:20:00,10.89,0.92,21.95
106,2023-03-11 17:30:00,10.73,0.87,21.81
107,2023-03-11 17:40:00,9.91,0.77,21.67
108,2023-03-11 17:50:00,8.54,0.61,21.66
109,2023-03-11 18:00:00,7.81,0.53,21.35
110,2023-03-11 18:10:00,9.1,0.73,21.21
111,2023-03-11 18:20:00,9.79,0.78,21.09
112,2023-03-11 18:30:00,9.86,0.83,20.97
113,2023-03-11 18:40:00,11.53,0.99,21.03
114,2023-03-11 18:50:00,11.69,0.99,21.52
115,2023-03-11 19:00:00,10.43,0.86,21.55
116,2023-03-11 19:10:00,9.96,0.73,21.69
117,2023-03-11 19:20:00,10.21,0.76,21.69
118,2023-03-11 19:30:00,11.42,0.91,21.57
119,2023-03-11 19:40:00,11.65,0.98,21.76
120,2023-03-11 19:50:00,11.99,0.99,21.9
121,2023-03-11 20:00:00,13.61,0.99,22.06
122,2023-03-11 20:10:00,12.21,0.99,21.91
123,2023-03-11 20:20:00,12.2,0.99,22.07
124,2023-03-11 20:30:00,11.91,0.97,22.16
125,2023-03-11 20:40:00,9.78,0.76,21.82
126,2023-03-11 20:50:00,5.52,0.24,20.24
127,2023-03-11 21:00:00,9.84,0.78,21.44
128,2023-03-11 21:10:00,9.52,0.78,21.33
129,2023-03-11 21:20:00,8.24,0.66,20.58
130,2023-03-11 21:30:00,6.96,0.38,18.01
131,2023-03-11 21:40:00,7.73,0.43,18.01
132,2023-03-11 21:50:00,10.2,0.76,19.28
133,2023-03-11 22:00:00,9.93,0.71,19.38
134,2023-03-11 22:10:00,10.29,0.73,19.19
135,2023-03-11 22:20:00,10.39,0.71,18.97
136,2023-03-11 22:30:00,9.04,0.59,18.19
137,2023-03-11 22:40:00,9.49,0.67,18.37
138,2023-03-11 22:50:00,9.22,0.6,18.39
139,2023-03-11 23:00:00,6.87,0.32,17.91
140,2023-03-11 23:10:00,6.83,0.37,17.12
141,2023-03-11 23:20:00,7.37,0.42,17.6
142,2023-03-11 23:30:00,7.22,0.37,17.33
143,2023-03-11 23:40:00,7.39,0.42,17.2
144,2023-03-11 23:50:00,7.11,0.38,16.91
145,2023-03-12 0:00:00,7.75,0.34,17.67
146,2023-03-12 0:10:00,7.42,0.4,16.82
147,2023-03-12 0:20:00,7.38,0.41,16.58
148,2023-03-12 0:30:00,9.27,0.54,17.47
149,2023-03-12 0:40:00,8.84,0.53,17.95
150,2023-03-12 0:50:00,8.55,0.49,18.01
151,2023-03-12 1:00:00,8.22,0.39,17.89
152,2023-03-12 1:10:00,7.73,0.32,17.72
153,2023-03-12 1:20:00,6.85,0.25,17.02
154,2023-03-12 1:30:00,6.68,0.29,16.76
155,2023-03-12 1:40:00,7.12,0.27,16.95
156,2023-03-12 1:50:00,7.3,0.3,17.13
157,2023-03-12 2:00:00,6.95,0.23,17.74
158,2023-03-12 2:10:00,7.04,0.27,17.09
159,2023-03-12 2:20:00,6.03,0.2,17.37
160,2023-03-12 2:30:00,5.11,0.11,18.14
161,2023-03-12 2:40:00,2.67,0.02,17.82
162,2023-03-12 2:50:00,1.7,0.01,17.54
163,2023-03-12 3:00:00,1.91,0.01,17.41
164,2023-03-12 3:10:00,1.42,0.01,17.17
165,2023-03-12 3:20:00,1.77,0.01,16.6
166,2023-03-12 3:30:00,2.26,0.01,16.36
167,2023-03-12 3:40:00,2.46,0.01,16.43
168,2023-03-12 3:50:00,2.54,0.01,17.07
169,2023-03-12 4:00:00,3.12,0.03,16.99
170,2023-03-12 4:10:00,3.11,0.05,16.99
171,2023-03-12 4:20:00,4.08,0.09,16.81
172,2023-03-12 4:30:00,3.52,0.06,16.63
173,2023-03-12 4:40:00,3.05,0.03,16.54
174,2023-03-12 4:50:00,2.16,0.01,16.72
175,2023-03-12 5:00:00,1.75,0.01,16.49
176,2023-03-12 5:10:00,2.32,0.01,16.44
177,2023-03-12 5:20:00,3.02,0.01,16.38
178,2023-03-12 5:30:00,2.72,0.01,16.07
179,2023-03-12 5:40:00,2.52,0.01,15.84
180,2023-03-12 5:50:00,1.89,0.01,15.78
181,2023-03-12 6:00:00,0.71,0.01,15.14
182,2023-03-12 6:10:00,1.24,0.01,14.94
183,2023-03-12 6:20:00,0.61,0.01,14.66
184,2023-03-12 6:30:00,0.47,0.01,14.53
185,2023-03-12 6:40:00,1.12,0.01,14.64
186,2023-03-12 6:50:00,1.67,0.01,15.24
187,2023-03-12 7:00:00,1.92,0.01,15.09
188,2023-03-12 7:10:00,4.27,0.01,15.11
189,2023-03-12 7:20:00,8.96,0.43,15.19
190,2023-03-12 7:30:00,9.52,0.74,13.27
191,2023-03-12 7:40:00,7.17,0.38,12.85
192,2023-03-12 7:50:00,7.65,0.4,13.03
193,2023-03-12 8:00:00,8.72,0.58,13.32
194,2023-03-12 8:10:00,8,0.51,13.9
195,2023-03-12 8:20:00,7.25,0.41,14.14
196,2023-03-12 8:30:00,7.28,0.39,14.42
197,2023-03-12 8:40:00,7.83,0.44,14.39
198,2023-03-12 8:50:00,6.86,0.34,14.51
199,2023-03-12 9:00:00,6.86,0.37,14.79
200,2023-03-12 9:10:00,8.86,0.69,15.16
201,2023-03-12 9:20:00,8.71,0.64,15.56
202,2023-03-12 9:30:00,8.69,0.65,15.8
203,2023-03-12 9:40:00,8.33,0.61,16
204,2023-03-12 9:50:00,7.31,0.46,16.19
205,2023-03-12 10:00:00,6.01,0.23,16.54
206,2023-03-12 10:10:00,5.33,0.14,16.79
207,2023-03-12 10:20:00,5.54,0.18,16.78
208,2023-03-12 10:30:00,6.46,0.29,17.17
209,2023-03-12 10:40:00,6.34,0.29,17.3
210,2023-03-12 10:50:00,6.16,0.27,17.32
211,2023-03-12 11:00:00,6.41,0.27,17.47
212,2023-03-12 11:10:00,6.63,0.31,17.5
213,2023-03-12 11:20:00,5.36,0.18,17.73
214,2023-03-12 11:30:00,5.47,0.16,18.21
215,2023-03-12 11:40:00,6.17,0.24,18.29
216,2023-03-12 11:50:00,6.28,0.32,18.2
217,2023-03-12 12:00:00,7.69,0.48,18.52
218,2023-03-12 12:10:00,5.8,0.21,19.13
219,2023-03-12 12:20:00,6.34,0.27,18.79
220,2023-03-12 12:30:00,6.83,0.35,18.51
221,2023-03-12 12:40:00,6.01,0.23,18.3
222,2023-03-12 12:50:00,5.54,0.19,18.22
223,2023-03-12 13:00:00,5.47,0.17,18.49
224,2023-03-12 13:10:00,6.36,0.28,18.19
225,2023-03-12 13:20:00,5.93,0.21,18.27
226,2023-03-12 13:30:00,6.24,0.28,18.22
227,2023-03-12 13:40:00,6.38,0.27,18.36
228,2023-03-12 13:50:00,6.31,0.26,18.65
229,2023-03-12 14:00:00,6.75,0.32,18.98
230,2023-03-12 14:10:00,7.16,0.41,18.99
231,2023-03-12 14:20:00,6.12,0.27,19.37
232,2023-03-12 14:30:00,5.93,0.21,19.4
233,2023-03-12 14:40:00,6.37,0.28,19.29
234,2023-03-12 14:50:00,6.18,0.26,19.51
235,2023-03-12 15:00:00,7.61,0.45,19.3
236,2023-03-12 15:10:00,8.03,0.52,19.18
237,2023-03-12 15:20:00,8.24,0.57,19.37
238,2023-03-12 15:30:00,9.67,0.81,19.43
239,2023-03-12 15:40:00,10.44,0.86,19.43
240,2023-03-12 15:50:00,10.88,0.95,19.27
241,2023-03-12 16:00:00,10.65,0.9,19.34
242,2023-03-12 16:10:00,10.84,0.95,19.23
243,2023-03-12 16:20:00,11.16,0.96,19.27
244,2023-03-12 16:30:00,11.93,0.97,19.26
245,2023-03-12 16:40:00,12.37,0.99,19.18
246,2023-03-12 16:50:00,13.25,0.99,18.96
247,2023-03-12 17:00:00,12.89,0.99,18.8
248,2023-03-12 17:10:00,12.42,0.99,18.73
249,2023-03-12 17:20:00,13.64,0.99,18.39
250,2023-03-12 17:30:00,14.25,0.99,17.99
251,2023-03-12 17:40:00,14.29,0.99,17.25
252,2023-03-12 17:50:00,13.86,0.99,16.88
253,2023-03-12 18:00:00,14.23,0.99,16.49
254,2023-03-12 18:10:00,13.08,0.99,16.34
255,2023-03-12 18:20:00,13.56,0.99,16
256,2023-03-12 18:30:00,13.41,0.99,15.83
257,2023-03-12 18:40:00,14.66,0.99,15.51
258,2023-03-12 18:50:00,14.2,0.99,15.26
259,2023-03-12 19:00:00,14.16,0.99,14.99
260,2023-03-12 19:10:00,14.91,0.99,14.7
261,2023-03-12 19:20:00,14.4,0.99,14.53
262,2023-03-12 19:30:00,14,0.99,14.47
263,2023-03-12 19:40:00,14.09,0.99,14.42
264,2023-03-12 19:50:00,13.73,0.99,14.46
265,2023-03-12 20:00:00,13.26,0.99,14.35
266,2023-03-12 20:10:00,13.4,0.99,14.27
267,2023-03-12 20:20:00,13.33,0.99,14.19
268,2023-03-12 20:30:00,13.4,0.99,14.13
269,2023-03-12 20:40:00,14.04,0.99,14.12
270,2023-03-12 20:50:00,14.54,0.99,14.12
271,2023-03-12 21:00:00,14.34,0.99,14.14
272,2023-03-12 21:10:00,13.55,0.99,14.02
273,2023-03-12 21:20:00,13.3,0.99,13.93
274,2023-03-12 21:30:00,13.52,0.99,13.88
275,2023-03-12 21:40:00,13.43,0.99,13.82
276,2023-03-12 21:50:00,13.04,0.99,13.85
277,2023-03-12 22:00:00,13.93,0.99,13.88
278,2023-03-12 22:10:00,14.12,0.99,13.85
279,2023-03-12 22:20:00,13.64,0.99,13.74
280,2023-03-12 22:30:00,13.25,0.99,13.69
281,2023-03-12 22:40:00,13.11,0.99,13.65
282,2023-03-12 22:50:00,13.63,0.99,13.63
283,2023-03-12 23:00:00,14.08,0.99,13.59
284,2023-03-12 23:10:00,13.65,0.99,13.54
285,2023-03-12 23:20:00,13.37,0.99,13.56
286,2023-03-12 23:30:00,14.22,0.99,13.51
287,2023-03-12 23:40:00,14.05,0.99,13.42
288,2023-03-12 23:50:00,13.39,0.99,13.4
289,2023-03-13 0:00:00,13.66,0.99,13.42
290,2023-03-13 0:10:00,13.38,0.99,13.48
291,2023-03-13 0:20:00,13.81,0.99,13.45
292,2023-03-13 0:30:00,15.09,0.99,13.32
293,2023-03-13 0:40:00,14.89,0.99,13.06
294,2023-03-13 0:50:00,14.46,0.99,12.87
295,2023-03-13 1:00:00,15.41,0.99,12.41
296,2023-03-13 1:10:00,15.56,0.99,11.93
297,2023-03-13 1:20:00,14.82,0.99,11.55
298,2023-03-13 1:30:00,14.5,0.99,11.19
299,2023-03-13 1:40:00,14.46,0.99,11.06
300,2023-03-13 1:50:00,14.51,0.99,11
301,2023-03-13 2:00:00,14.94,0.99,10.95
302,2023-03-13 2:10:00,15.24,0.99,10.96
303,2023-03-13 2:20:00,14.85,0.99,10.89
304,2023-03-13 2:30:00,14.73,0.99,10.91
305,2023-03-13 2:40:00,14.92,0.99,10.94
306,2023-03-13 2:50:00,14.88,0.99,10.99
307,2023-03-13 3:00:00,14.25,0.99,10.91
308,2023-03-13 3:10:00,13.73,0.99,10.81
309,2023-03-13 3:20:00,14.73,0.99,10.74
310,2023-03-13 3:30:00,15.56,0.99,10.45
311,2023-03-13 3:40:00,15.54,0.99,10.3
312,2023-03-13 3:50:00,15.79,0.99,10.11
313,2023-03-13 4:00:00,15.21,0.99,10.06
314,2023-03-13 4:10:00,15.58,0.99,9.92
315,2023-03-13 4:20:00,15.87,0.99,9.83
316,2023-03-13 4:30:00,15.47,0.99,9.84
317,2023-03-13 4:40:00,14.78,0.99,9.75
318,2023-03-13 4:50:00,15.05,0.99,9.64
319,2023-03-13 5:00:00,15.26,0.99,9.59
320,2023-03-13 5:10:00,15.49,0.99,9.54
321,2023-03-13 5:20:00,14.92,0.99,9.48
322,2023-03-13 5:30:00,14.88,0.99,9.42
323,2023-03-13 5:40:00,14.33,0.99,9.38
324,2023-03-13 5:50:00,14.55,0.99,9.25
325,2023-03-13 6:00:00,13.97,0.99,9.19
326,2023-03-13 6:10:00,13.43,0.99,9.08
327,2023-03-13 6:20:00,13.7,0.99,8.93
328,2023-03-13 6:30:00,13.48,0.99,8.88
329,2023-03-13 6:40:00,13.66,0.99,8.8
330,2023-03-13 6:50:00,13.95,0.99,8.75
331,2023-03-13 7:00:00,13.97,0.99,8.64
332,2023-03-13 7:10:00,13.44,0.99,8.62
333,2023-03-13 7:20:00,13.58,0.99,8.66
334,2023-03-13 7:30:00,13.63,0.99,8.6
335,2023-03-13 7:40:00,13.52,0.99,8.56
336,2023-03-13 7:50:00,13.52,0.99,8.5
337,2023-03-13 8:00:00,13.18,0.99,8.54
338,2023-03-13 8:10:00,13.09,0.99,8.58
339,2023-03-13 8:20:00,13.72,0.99,8.57
340,2023-03-13 8:30:00,13.61,0.99,8.38
341,2023-03-13 8:40:00,13.31,0.99,8.38
342,2023-03-13 8:50:00,13.21,0.99,8.36
343,2023-03-13 9:00:00,12.85,0.99,8.26
344,2023-03-13 9:10:00,12.54,0.99,8.32
345,2023-03-13 9:20:00,12.35,0.99,8.3
346,2023-03-13 9:30:00,12.76,0.99,8.23
347,2023-03-13 9:40:00,12.98,0.99,8.14
348,2023-03-13 9:50:00,12.62,0.99,8.1
349,2023-03-13 10:00:00,12.85,0.99,8.06
350,2023-03-13 10:10:00,12.6,0.99,8.16
351,2023-03-13 10:20:00,11.96,0.99,8.41
352,2023-03-13 10:30:00,12.08,0.99,8.38
353,2023-03-13 10:40:00,11.45,0.99,8.31
354,2023-03-13 10:50:00,12.04,0.99,8.39
355,2023-03-13 11:00:00,12.81,0.99,8.13
356,2023-03-13 11:10:00,13.03,0.99,8.04
357,2023-03-13 11:20:00,13.09,0.99,8.13
358,2023-03-13 11:30:00,13.39,0.99,8.26
359,2023-03-13 11:40:00,12.8,0.99,8.61
360,2023-03-13 11:50:00,13.25,0.99,8.75
361,2023-03-13 12:00:00,13.19,0.99,8.88
362,2023-03-13 12:10:00,13.24,0.99,9.3
363,2023-03-13 12:20:00,13.43,0.99,9.58
364,2023-03-13 12:30:00,13.74,0.99,9.89
365,2023-03-13 12:40:00,13.88,0.99,9.96
366,2023-03-13 12:50:00,12.89,0.99,10.1
367,2023-03-13 13:00:00,13.97,0.99,9.84
368,2023-03-13 13:10:00,14.21,0.99,10.07
369,2023-03-13 13:20:00,13.75,0.99,10.15
370,2023-03-13 13:30:00,13.74,0.99,10.14
371,2023-03-13 13:40:00,13,0.99,10.55
372,2023-03-13 13:50:00,13.75,0.99,10.82
373,2023-03-13 14:00:00,13.56,0.99,10.66
374,2023-03-13 14:10:00,12.74,0.99,10.91
375,2023-03-13 14:20:00,12.99,0.99,10.65
376,2023-03-13 14:30:00,12.63,0.99,10.59
377,2023-03-13 14:40:00,12.58,0.99,10.39
378,2023-03-13 14:50:00,12.53,0.99,10.57
379,2023-03-13 15:00:00,12.81,0.99,10.45
380,2023-03-13 15:10:00,12.08,0.99,10.43
381,2023-03-13 15:20:00,12.07,0.99,10.19
382,2023-03-13 15:30:00,12.27,0.99,10.11
383,2023-03-13 15:40:00,12.08,0.99,10.04
384,2023-03-13 15:50:00,12.74,0.99,9.93
385,2023-03-13 16:00:00,11.93,0.99,10.15
386,2023-03-13 16:10:00,11.39,0.96,10.26
387,2023-03-13 16:20:00,11.63,0.99,10.11
388,2023-03-13 16:30:00,11.67,0.98,10.07
389,2023-03-13 16:40:00,11.63,0.99,10.11
390,2023-03-13 16:50:00,11.44,0.99,10
391,2023-03-13 17:00:00,11.18,0.98,9.95
392,2023-03-13 17:10:00,12.18,0.99,9.92
393,2023-03-13 17:20:00,11.52,0.98,10.04
394,2023-03-13 17:30:00,11.21,0.97,9.97
395,2023-03-13 17:40:00,11.59,0.99,9.87
396,2023-03-13 17:50:00,10.95,0.98,9.89
397,2023-03-13 18:00:00,12.15,0.99,9.73
398,2023-03-13 18:10:00,11.93,0.99,9.74
399,2023-03-13 18:20:00,12.21,0.99,9.53
400,2023-03-13 18:30:00,12.17,0.99,9.47
401,2023-03-13 18:40:00,11.76,0.99,9.38
402,2023-03-13 18:50:00,11.34,0.99,9.28
403,2023-03-13 19:00:00,11.5,0.99,9.19
404,2023-03-13 19:10:00,11.41,0.99,9.18
405,2023-03-13 19:20:00,11.38,0.99,9.06
406,2023-03-13 19:30:00,10.69,0.99,8.98
407,2023-03-13 19:40:00,11.41,0.99,8.98
408,2023-03-13 19:50:00,11.58,0.99,8.79
409,2023-03-13 20:00:00,11.76,0.99,8.84
410,2023-03-13 20:10:00,11.51,0.99,8.79
411,2023-03-13 20:20:00,11.54,0.99,8.63
412,2023-03-13 20:30:00,11.5,0.99,8.39
413,2023-03-13 20:40:00,10.79,0.97,8.31
414,2023-03-13 20:50:00,10.38,0.91,8.29
415,2023-03-13 21:00:00,9.72,0.82,8.3
416,2023-03-13 21:10:00,10.07,0.91,8.38
417,2023-03-13 21:20:00,9.58,0.84,8.41
418,2023-03-13 21:30:00,10.25,0.91,8.37
419,2023-03-13 21:40:00,10.92,0.98,8.38
420,2023-03-13 21:50:00,10.33,0.92,8.41
421,2023-03-13 22:00:00,9.58,0.8,8.43
422,2023-03-13 22:10:00,9.64,0.78,8.4
423,2023-03-13 22:20:00,9.19,0.72,8.31
424,2023-03-13 22:30:00,9.53,0.75,8.17
425,2023-03-13 22:40:00,9.88,0.82,8.12
426,2023-03-13 22:50:00,9.1,0.71,8.19
427,2023-03-13 23:00:00,8.76,0.59,8
428,2023-03-13 23:10:00,8.85,0.66,7.56
429,2023-03-13 23:20:00,8.09,0.55,7.61
430,2023-03-13 23:30:00,6.83,0.33,7.75
431,2023-03-13 23:40:00,5.42,0.16,7.81
432,2023-03-13 23:50:00,5.36,0.15,7.76
433,2023-03-14 0:00:00,4.54,0.1,7.44
434,2023-03-14 0:10:00,4.2,0.01,6.52
435,2023-03-14 0:20:00,4.35,0.06,6.54
436,2023-03-14 0:30:00,2.98,0.02,6.62
437,2023-03-14 0:40:00,3.77,0.02,6.28
438,2023-03-14 0:50:00,2.9,0.01,6.31
439,2023-03-14 1:00:00,2.43,0.01,6.45
440,2023-03-14 1:10:00,2.38,0.01,6.34
441,2023-03-14 1:20:00,3.23,0.01,6.13
442,2023-03-14 1:30:00,2.5,0.01,6.41
443,2023-03-14 1:40:00,1.83,0.01,6.73
444,2023-03-14 1:50:00,1.04,0.01,6.99
445,2023-03-14 2:00:00,0.55,0.01,7.04
446,2023-03-14 2:10:00,1.12,0.01,6.9
447,2023-03-14 2:20:00,2.06,0.01,6.86
448,2023-03-14 2:30:00,1.87,0.01,7.06
449,2023-03-14 2:40:00,1.52,0.01,7.01
450,2023-03-14 2:50:00,1.47,0.01,6.69
451,2023-03-14 3:00:00,2.18,0.01,6.33
452,2023-03-14 3:10:00,3.25,0.01,6.32
453,2023-03-14 3:20:00,2.95,0.01,6.57
454,2023-03-14 3:30:00,1.94,0.01,6.52
455,2023-03-14 3:40:00,1.16,0.01,6.76
456,2023-03-14 3:50:00,1.05,0.01,6.82
457,2023-03-14 4:00:00,1.83,0.01,6.72
458,2023-03-14 4:10:00,4.45,0.03,5.99
459,2023-03-14 4:20:00,4.61,0.06,5.42
460,2023-03-14 4:30:00,4.03,0.03,5.26
461,2023-03-14 4:40:00,3.73,0.02,5.08
462,2023-03-14 4:50:00,3.17,0.01,5.1
463,2023-03-14 5:00:00,3.18,0.01,4.9
464,2023-03-14 5:10:00,3.57,0.01,4.88
465,2023-03-14 5:20:00,2.32,0.01,5
466,2023-03-14 5:30:00,2.55,0.01,5.07
467,2023-03-14 5:40:00,2.14,0.01,5.14
468,2023-03-14 5:50:00,2.17,0.01,5.16
469,2023-03-14 6:00:00,3.04,0.01,5.01
470,2023-03-14 6:10:00,1.61,0.01,5.18
471,2023-03-14 6:20:00,1.67,0.01,5.13
472,2023-03-14 6:30:00,1.35,0.01,5.19
473,2023-03-14 6:40:00,0.66,0.01,5.42
474,2023-03-14 6:50:00,0.47,0.01,5.61
475,2023-03-14 7:00:00,0.72,0.01,5.02
476,2023-03-14 7:10:00,0.9,0.01,4.8
477,2023-03-14 7:20:00,0.85,0.01,4.84
478,2023-03-14 7:30:00,0.76,0.01,5.01
479,2023-03-14 7:40:00,1.18,0.01,4.91
480,2023-03-14 7:50:00,1.52,0.01,4.89
481,2023-03-14 8:00:00,1.17,0.01,4.96
482,2023-03-14 8:10:00,1.32,0.01,5.14
483,2023-03-14 8:20:00,1.62,0.01,5.27
484,2023-03-14 8:30:00,1.59,0.01,5.38
485,2023-03-14 8:40:00,1.7,0.01,5.68
486,2023-03-14 8:50:00,1.64,0.01,6.29
487,2023-03-14 9:00:00,2.18,0.01,6.45
488,2023-03-14 9:10:00,3.07,0.01,6.22
489,2023-03-14 9:20:00,3.23,0.01,6.36
490,2023-03-14 9:30:00,3.39,0.02,6.71
491,2023-03-14 9:40:00,2.82,0.02,7.57
492,2023-03-14 9:50:00,4.19,0.06,8.23
493,2023-03-14 10:00:00,5.08,0.12,8.9
494,2023-03-14 10:10:00,6.63,0.31,9.36
495,2023-03-14 10:20:00,7.41,0.46,9.34
496,2023-03-14 10:30:00,8.04,0.53,9.3
497,2023-03-14 10:40:00,8.6,0.65,9.23
498,2023-03-14 10:50:00,8.24,0.57,9.62
499,2023-03-14 11:00:00,8.28,0.61,9.63
500,2023-03-14 11:10:00,8.43,0.57,10.18
501,2023-03-14 11:20:00,9.4,0.76,10.09
502,2023-03-14 11:30:00,8.46,0.64,10.48
503,2023-03-14 11:40:00,8.4,0.57,10.82
504,2023-03-14 11:50:00,7.9,0.51,11.19
505,2023-03-14 12:00:00,8.51,0.63,10.99
506,2023-03-14 12:10:00,8.17,0.58,11.18
507,2023-03-14 12:20:00,8.03,0.56,11.45
508,2023-03-14 12:30:00,7.87,0.53,11.82
509,2023-03-14 12:40:00,8.83,0.66,11.87
510,2023-03-14 12:50:00,9.52,0.79,11.82
511,2023-03-14 13:00:00,8.69,0.67,12.25
512,2023-03-14 13:10:00,9.25,0.77,12.14
513,2023-03-14 13:20:00,8.99,0.71,12.36
514,2023-03-14 13:30:00,8.57,0.61,12.8
515,2023-03-14 13:40:00,8.74,0.62,13.04
